,TickerPairA,TickerPairB,TickerPairC,Route
449,ETH-BTC,ENJ-ETH,ENJ-BTC,0
450,ETH-BTC,EOS-ETH,EOS-BTC,0
451,ETH-BTC,ETC-ETH,ETC-BTC,0
452,ETH-BTC,FIL-ETH,FIL-BTC,0
453,ETH-BTC,FX-ETH,FX-BTC,0
454,ETH-BTC,GLM-ETH,GLM-BTC,0
455,ETH-BTC,GNO-ETH,GNO-BTC,0
456,ETH-BTC,GRT-ETH,GRT-BTC,0
457,ETH-BTC,HBAR-ETH,HBAR-BTC,0
458,ETH-BTC,HNS-ETH,HNS-BTC,0
459,ETH-BTC,KNC-ETH,KNC-BTC,0
460,ETH-BTC,KSM-ETH,KSM-BTC,0
461,ETH-BTC,LINK-ETH,LINK-BTC,0
462,ETH-BTC,LTC-ETH,LTC-BTC,0
463,ETH-BTC,MANA-ETH,MANA-BTC,0
464,ETH-BTC,MET-ETH,MET-BTC,0
465,ETH-BTC,MKR-ETH,MKR-BTC,0
466,ETH-BTC,NEO-ETH,NEO-BTC,0
467,ETH-BTC,NMR-ETH,NMR-BTC,0
468,ETH-BTC,NPXS-ETH,NPXS-BTC,0
469,ETH-BTC,OGN-ETH,OGN-BTC,0
470,ETH-BTC,OMG-ETH,OMG-BTC,0
471,ETH-BTC,PAY-ETH,PAY-BTC,0
472,ETH-BTC,POWR-ETH,POWR-BTC,0
473,ETH-BTC,QTUM-ETH,QTUM-BTC,0
474,ETH-BTC,REN-ETH,REN-BTC,0
475,ETH-BTC,RENBTC-ETH,RENBTC-BTC,0
476,ETH-BTC,REPV2-ETH,REPV2-BTC,0
477,ETH-BTC,SC-ETH,SC-BTC,0
478,ETH-BTC,SENSO-ETH,SENSO-BTC,0
479,ETH-BTC,SNT-ETH,SNT-BTC,0
480,ETH-BTC,SOLVE-ETH,SOLVE-BTC,0
481,ETH-BTC,SRN-ETH,SRN-BTC,0
482,ETH-BTC,STMX-ETH,STMX-BTC,0
483,ETH-BTC,STRAX-ETH,STRAX-BTC,0
484,ETH-BTC,TRAC-ETH,TRAC-BTC,0
485,ETH-BTC,TRX-ETH,TRX-BTC,0
486,ETH-BTC,TUSD-ETH,TUSD-BTC,0
487,ETH-BTC,UBT-ETH,UBT-BTC,0
488,ETH-BTC,UMA-ETH,UMA-BTC,0
489,ETH-BTC,UNI-ETH,UNI-BTC,0
490,ETH-BTC,USDC-ETH,USDC-BTC,0
491,ETH-BTC,VDX-ETH,VDX-BTC,0
492,ETH-BTC,VIB-ETH,VIB-BTC,0
493,ETH-BTC,WAVES-ETH,WAVES-BTC,0
494,ETH-BTC,WAXP-ETH,WAXP-BTC,0
495,ETH-BTC,WBTC-ETH,WBTC-BTC,0
496,ETH-BTC,XEM-ETH,XEM-BTC,0
497,ETH-BTC,XLM-ETH,XLM-BTC,0
498,ETH-BTC,XMR-ETH,XMR-BTC,0
499,ETH-BTC,XRP-ETH,XRP-BTC,0
500,ETH-BTC,XTZ-ETH,XTZ-BTC,0
501,ETH-BTC,YFL-ETH,YFL-BTC,0
502,ETH-BTC,ZEC-ETH,ZEC-BTC,0
503,ETH-BTC,ZRX-ETH,ZRX-BTC,0
504,BTC-EUR,ADA-BTC,ADA-EUR,0
505,BTC-EUR,BAL-BTC,BAL-EUR,0
506,BTC-EUR,BAND-BTC,BAND-EUR,0
507,BTC-EUR,BCH-BTC,BCH-EUR,0
508,BTC-EUR,BSV-BTC,BSV-EUR,0
509,BTC-EUR,CRO-BTC,CRO-EUR,0
510,BTC-EUR,DOT-BTC,DOT-EUR,0
511,BTC-EUR,GRT-BTC,GRT-EUR,0
512,BTC-EUR,KNC-BTC,KNC-EUR,0
513,BTC-EUR,REN-BTC,REN-EUR,0
514,BTC-EUR,RENBTC-BTC,RENBTC-EUR,0
515,BTC-EUR,TRX-BTC,TRX-EUR,0
516,BTC-EUR,UMA-BTC,UMA-EUR,0
517,BTC-EUR,XLM-BTC,XLM-EUR,0
518,BTC-EUR,XRP-BTC,XRP-EUR,0
519,BTC-EUR,YFL-BTC,YFL-EUR,0
