Unique_id,TickerPairA,TickerPairB,TickerPairC,Percentage_profit_without_fees,Percentage_profit_with_fees,Amount_profit_USDT,maxAmount_USDT,Route,Route_Result,Alive_time,Date,Time,Status,Round,Session
7dbb36d3046d4f81bf38b9110f8b4104,USDT-USD,CRO-USDT,CRO-USD,0.44%,-0.31%,-0.08112903024663608,25.77642996744643,BitRoute,1.0043515136408865,0-5,15/01/2021,22:08:16,Blocked,1190,4
8845ae217f4e43f688a37c237616d1ab,USDT-EUR,CRO-USDT,CRO-EUR,0.75%,0.11%,0.025279830956342286,23.997603522418018,BitRoute,1.0075081911090689,0,15/01/2021,22:08:17,Blocked,1190,4
c3ce02e16ae54db884def485943bdce4,ETH-USDT,CRO-ETH,CRO-USDT,0.54%,-0.21%,-0.05932040195730984,27.75614519332005,BitRoute,1.0053633665182409,0,15/01/2021,22:12:28,Blocked,1277,4
69a7456cd1da4aee91744dc085230cec,BTC-USDT,ALGO-BTC,ALGO-USDT,0.58%,-0.17%,-0.0457520683706403,27.61336711147727,BitRoute,1.0058449863076122,0-4,15/01/2021,22:14:34,Blocked,1314,4
0e718266b22f4281a94f559627d33705,ETH-USDT,CRO-ETH,CRO-USDT,0.71%,-0.03%,-0.009044876311963046,27.74968061595033,BitRoute,1.0071424376717844,0,15/01/2021,22:17:03,Blocked,1364,4
f13968f8be734ed0a287599b163567a5,USDT-EUR,ETH-USDT,ETH-EUR,0.45%,-0.26%,-0.061395999372508364,24.03793269632096,BitRoute,1.0045207738003799,0,15/01/2021,22:18:00,Blocked,1383,4
d5a091e4c1534cb38588581c81e09816,BTC-USDT,CRO-BTC,CRO-USDT,0.53%,-0.22%,-0.060353724263014885,27.66941090554528,BitRoute,1.0053185421144728,0-3,15/01/2021,22:19:20,Blocked,1410,4
83ca2ce4c66743d18a5986a7aa19d466,USDT-USD,CRO-USDT,CRO-USD,1.05%,0.30%,0.07839038336061044,25.85354480893039,BitRoute,1.0105273538460262,0,15/01/2021,22:28:10,Blocked,1588,4
3f73c965ca18477ca47aae11c1cbb2b3,USDT-USD,CRO-USDT,CRO-USD,0.46%,-0.29%,-0.07346980993433291,25.61337705930105,BitRoute,1.0046304119969498,0,15/01/2021,22:32:28,Blocked,1671,4
4b47f9a5de98438db40d894e07766e05,BTC-USDT,DFI-BTC,DFI-USDT,0.54%,-0.21%,-0.059448172877887034,27.85432445,BitRoute,1.0053595312704966,8-11,15/01/2021,22:34:43,Blocked,1715,4
6dcd77a8615a4aa79d7f05893d2ae7a2,BTC-USDT,DFI-BTC,DFI-USDT,0.57%,-0.18%,-0.05037692590761656,27.85432445,BitRoute,1.0056926490010507,0,15/01/2021,22:34:55,Blocked,1718,4
2f5fea434fb745aa8ebddf04ac8096d5,USDT-EUR,CRO-USDT,CRO-EUR,0.63%,-0.04%,-0.007103958923585395,18.13513774964305,BitRoute,1.006311120920236,0,15/01/2021,22:35:33,Blocked,1731,4
b4fc40beca5a455c9c05a299796de8e7,USDT-EUR,CRO-USDT,CRO-EUR,0.46%,-0.25%,-0.04536686726715872,18.13513774964305,BitRoute,1.0045662178200696,0,15/01/2021,22:35:56,Blocked,1739,4
19ad283e7ea64b05963619f3116b462b,USDT-USD,CRO-USDT,CRO-USD,0.80%,0.05%,0.012375797334322923,22.74460992931624,BitRoute,1.0080409046755177,0,15/01/2021,22:37:54,Blocked,1777,4
0d483a1cc2e94b5ea4d9409b65d2f4f8,USDT-USD,TRX-USDT,TRX-USD,0.68%,-0.07%,-0.018583023818660088,25.6098847669991,BitRoute,1.0067719446330514,0,15/01/2021,22:40:35,Blocked,1825,4
a443d258b86e4d1f8bfc5bd609232abb,USDT-USD,CRO-USDT,CRO-USD,0.42%,-0.33%,-0.0844363679768797,25.65207446757688,BitRoute,1.0042075970652713,0,15/01/2021,22:41:18,Blocked,1839,4
